"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0.3",0.21,0.786942462151868,0.3,12400,1.55418956607363,1.23550556655838,"yes","yes"
"0.3",0.22,0.796650832160759,0.3,12397,1.60729605125904,1.27197313512694,"yes","yes"
"0.3",0.23,0.803210041558517,0.3,12396,1.65959995841545,1.30903735364765,"yes","yes"
"0.3",0.24,0.807773384819533,0.3,12394,1.71154920607047,1.34665051022915,"yes","yes"
"0.3",0.25,0.81102718841187,0.3,12393,1.76339833183505,1.3847696427633,"yes","yes"
"0.3",0.26,0.813407690509016,0.3,12391,1.8152922300562,1.42335616840201,"yes","yes"
"0.3",0.27,0.815183651827563,0.3,12390,1.86731580532138,1.46237453165079,"yes","yes"
"0.3",0.28,0.816521808081256,0.3,12389,1.91951913877658,1.50179196331321,"yes","yes"
"0.3",0.29,0.817550023352441,0.3,12389,1.97192909848651,1.54157895752961,"yes","yes"
"0.3",0.3,0.818348385812134,0.3,12388,2.02455902765483,1.58170794285454,"yes","yes"
"0.3",0.31,0.818974781873028,0.3,12387,2.07741387946686,1.62215408372748,"yes","yes"
"0.3",0.32,0.819460746128513,0.3,12387,2.13049317860314,1.66289408016987,"yes","yes"
"0.3",0.33,0.819851785484879,0.3,12386,2.18379382875377,1.70390739408892,"yes","yes"
"0.3",0.34,0.820162085049377,0.3,12386,2.23731026860258,1.74517499683515,"yes","yes"
"0.3",0.35,0.820406174380541,0.3,12386,2.29103587212512,1.7866789113766,"yes","yes"
"0.3",0.36,0.82060416610625,0.3,12386,2.3449641130819,1.82840361572379,"yes","yes"
"0.3",0.37,0.820757290441303,0.3,12386,2.39908668659547,1.87033382236291,"yes","yes"
"0.3",0.38,0.820881489148114,0.3,12386,2.45339731662747,1.91245665559306,"yes","yes"
"0.3",0.39,0.820976258189049,0.3,12386,2.50788896518655,1.95475958747252,"yes","yes"
"0.3",0.4,0.821049469475613,0.3,12386,2.56255417375223,1.99723108886473,"yes","yes"
"0.3",0.41,0.821102785318792,0.3,12386,2.61738623614407,2.03987364667378,"yes","yes"
