"q","biteA","Mean_Annual_Seroprevalence","R0_when_q0","param1","Persistence","mean_popn_R0","Persist_long","Persist_year"
"0.3",0.41,0.814912867030215,1.48908778118075,0.3,12390,1.90411697986485,"yes","yes"
"0.3",0.42,0.815878987032487,1.51695463485094,0.3,12390,1.94065764444397,"yes","yes"
"0.3",0.43,0.816686388830793,1.54497158036142,0.3,12389,1.9772699612568,"yes","yes"
"0.3",0.44,0.81736620649911,1.57313017247125,0.3,12388,2.01396041459529,"yes","yes"
"0.3",0.45,0.817944172463994,1.60142386834724,0.3,12388,2.05073328154308,"yes","yes"
"0.4",0.01,0.0179535955450084,0.722451859693402,0.4,0,0.723316665280281,"no","no"
"0.4",0.02,0.0181525251600127,0.724540522899575,0.4,0,0.727925750418493,"no","no"
"0.4",0.03,0.0183504062125321,0.728004631065874,0.4,0,0.735389615423077,"no","no"
"0.4",0.04,0.0185623300410076,0.732825146594599,0.4,60,0.745438947997468,"no","no"
"0.4",0.05,0.0187869519472182,0.73897555868539,0.4,65,0.75776711852108,"no","no"
"0.4",0.06,0.0190242571154803,0.746423119602634,0.4,69,0.772067903156893,"no","no"
"0.4",0.07,0.0193180978369984,0.755129812235721,0.4,73,0.788060061394828,"no","no"
"0.4",0.08,0.0196365773868179,0.765052739956296,0.4,77,0.80549762993911,"no","no"
"0.4",0.09,0.0200262274120782,0.776145617168594,0.4,313,0.824178300008017,"no","no"
"0.4",0.1,0.0204377373549599,0.788359308572485,0.4,319,0.843922235800904,"no","no"
"0.4",0.11,0.0209233201413754,0.801643097897471,0.4,721,0.864590138987453,"no","no"
"0.4",0.12,0.0217753807498166,0.815945036703529,0.4,732,0.886074563583142,"no","no"
"0.4",0.13,0.0228525085488435,0.831213167082112,0.4,1063,0.908274570997706,"no","no"
"0.4",0.14,0.0243961616805391,0.847395777415818,0.4,1081,0.931128134587904,"no","no"
"0.4",0.15,0.0270589109380093,0.864442165754515,0.4,1437,0.954593932710155,"no","no"
"0.4",0.16,0.0540235110151168,0.882303289291038,0.4,1628,0.979582380994353,"no","no"
"0.4",0.17,0.0617081547235173,0.90093141751557,0.4,1800,1.00441116667737,"no","no"
"0.4",0.18,0.0864773307354593,0.920280770936715,0.4,4700,1.03096966343258,"no","no"
"0.4",0.19,0.21727498004146,0.940324453229364,0.4,9652,1.06492453479146,"no","no"
"0.4",0.2,0.452703502453419,0.961000848794107,0.4,12456,1.13322024036454,"yes","no"
"0.4",0.21,0.534393500790357,0.982274876376277,0.4,12429,1.18067507287619,"yes","no"
"0.4",0.22,0.602943618576747,1.00411126087694,0.4,12421,1.22756881547594,"yes","yes"
"0.4",0.23,0.656740375979233,1.02647562694986,0.4,12414,1.27393560607984,"yes","yes"
"0.4",0.24,0.696910947515631,1.04933546146558,0.4,12409,1.31888943225776,"yes","yes"
"0.4",0.25,0.726323437994969,1.07265919314101,0.4,12405,1.36178915580197,"yes","yes"
"0.4",0.26,0.747772083719452,1.09641712841973,0.4,12402,1.40267155045106,"yes","yes"
"0.4",0.27,0.763577951849824,1.1205803954871,0.4,12399,1.44194866354004,"yes","yes"
"0.4",0.28,0.775423395838942,1.14512174591402,0.4,12398,1.48006808657409,"yes","yes"
"0.4",0.29,0.784468974645857,1.170015361714,0.4,12396,1.51739591092769,"yes","yes"
"0.4",0.3,0.791494598896084,1.19523645769521,0.4,12395,1.5542124288532,"yes","yes"
"0.4",0.31,0.797027186514113,1.22076218998543,0.4,12394,1.59070897307647,"yes","yes"
"0.4",0.32,0.801426457770001,1.24657220602298,0.4,12393,1.62701695990034,"yes","yes"
"0.4",0.33,0.804952492235601,1.27264732238755,0.4,12392,1.66322388037113,"yes","yes"
"0.4",0.34,0.807805822468896,1.29897098410439,0.4,12391,1.69938938878399,"yes","yes"
"0.4",0.35,0.810118674709198,1.32552801765679,0.4,12390,1.73555424043855,"yes","yes"
"0.4",0.36,0.81200727835522,1.35230507454283,0.4,12389,1.77174622115034,"yes","yes"
"0.4",0.37,0.813556099270566,1.37928946696487,0.4,12389,1.80798474093356,"yes","yes"
"0.4",0.38,0.814831310617434,1.40647006871096,0.4,12388,1.84428343271247,"yes","yes"
"0.4",0.39,0.815886589759979,1.4338365665043,0.4,12387,1.88065291695577,"yes","yes"
"0.4",0.4,0.816766533177898,1.4613788246518,0.4,12387,1.91710023312455,"yes","yes"
"0.4",0.41,0.817502691473719,1.48908778118075,0.4,12386,1.95363159903549,"yes","yes"
"0.4",0.42,0.81812029410193,1.51695463485094,0.4,12386,1.99024958478723,"yes","yes"
"0.4",0.43,0.818637170297433,1.54497158036142,0.4,12386,2.0269579930172,"yes","yes"
"0.4",0.44,0.819076378726804,1.57313017247125,0.4,12385,2.06375682091739,"yes","yes"
"0.4",0.45,0.819448501426784,1.60142386834724,0.4,12385,2.10064722526,"yes","yes"
"0.5",0.01,0.0179868468961446,0.722451859693402,0.5,0,0.724009791122496,"no","no"
"0.5",0.02,0.0182188051835313,0.724540522899575,0.5,0,0.73054581716246,"no","no"
"0.5",0.03,0.0184494940248464,0.728004631065874,0.5,0,0.740810582854097,"no","no"
"0.5",0.04,0.0187379533634323,0.732825146594599,0.5,60,0.754128967825748,"no","no"
"0.5",0.05,0.01900488620942,0.73897555868539,0.5,65,0.769863525629458,"no","no"
"0.5",0.06,0.0192867381770893,0.746423119602634,0.5,69,0.787490525283676,"no","no"
"0.5",0.07,0.0195887479384309,0.755129812235721,0.5,73,0.806608478013829,"no","no"
"0.5",0.08,0.0200736275474601,0.765052739956296,0.5,314,0.826924410774959,"no","no"
"0.5",0.09,0.0205520362733395,0.776145617168594,0.5,723,0.848213493479449,"no","no"
"0.5",0.1,0.0211732517600119,0.788359308572485,0.5,731,0.870317423640297,"no","no"
"0.5",0.11,0.0221212372068952,0.801643097897471,0.5,1070,0.893122307966293,"no","no"
"0.5",0.12,0.0238795469150664,0.815945036703529,0.5,1419,0.916539445987584,"no","no"
"0.5",0.13,0.0272308898274588,0.831213167082112,0.5,2225,0.940546490700401,"no","no"
"0.5",0.14,0.0363972935824865,0.847395777415818,0.5,3248,0.965272308719679,"no","no"
"0.5",0.15,0.0693393969162017,0.864442165754515,0.5,4370,0.99159997967326,"no","no"
"0.5",0.16,0.173883494006071,0.882303289291038,0.5,9653,1.02257292087192,"no","no"
